,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
152,"Zhou, JZ; Lemelman, BT; Done, N; Henderson, ML; Macmillan, A; Song, DH; Dorafshar, AH","Zhou, Joy Z.; Lemelman, Benjamin T.; Done, Nicolae; Henderson, Macey L.; Macmillan, Alexandra; Song, David H.; Dorafshar, Amir H.",Social Media and the Dissemination of Research: Insights from the Most Widely Circulated Articles in Plastic Surgery,PLASTIC AND RECONSTRUCTIVE SURGERY,English,Article,,2018,142,2,10.1097/prs.0000000000004598,"jz zhou, bt lemelman, n done, ml henderson, a macmillan, dh song, ah dorafshar","joy z. zhou, benjamin t. lemelman, nicolae done, macey l. henderson, alexandra macmillan, david h. song, amir h. dorafshar",social media dissemination research insights from most widely circulated articles in plastic surgery,plastic and reconstructive surgery,
153,"Haunschild, R; Bornmann, L","Haunschild, Robin; Bornmann, Lutz",Field- and time-normalization of data with many zeros: an empirical analysis using citation and Twitter data,SCIENTOMETRICS,English,Article,Data with many zeros; Citation counts; Altmetrics; Twitter; Mantel-Haenszel quotient (MHq); Equalized mean-based normalized proportion cited (EMNPC); Mean-based normalized proportion cited (MNPC),2018,116,2,10.1007/s11192-018-2771-1,"r haunschild, l bornmann","robin haunschild, lutz bornmann",field time normalization data with many zeros an empirical analysis using citation twitter data,scientometrics,"altmetrics, citation counts, data with many zeros, equalized mean-based normalized proportion cited (emnpc), mantel-haenszel quotient (mhq), mean-based normalized proportion cited (mnpc), twitter"
154,"Abramo, G","Abramo, Giovanni",Revisiting the scientometric conceptualization of impact and its measurement,JOURNAL OF INFORMETRICS,English,Article,Research evaluation; Citations; Bibliometrics; Altmetrics,2018,12,3,10.1016/j.joi.2018.05.001,g abramo,giovanni abramo,revisiting scientometric conceptualization impact its measurement,journal of informetrics,"altmetrics, bibliometrics, citations, research evaluation"
155,"Maggio, LA; Leroux, TC; Meyer, HS; Anthony, R","Maggio, Lauren A.; Leroux, Todd C.; Meyer, Holly S.; Artino, Anthony R., Jr.",#MedEd: exploring the relationship between altmetrics and traditional measures of dissemination in health professions education,PERSPECTIVES ON MEDICAL EDUCATION,English,Article,Social media; Scholarly communication; Altmetrics,2018,7,4,10.1007/s40037-018-0438-5,"la maggio, tc leroux, hs meyer, r anthony","lauren a. maggio, todd c. leroux, holly s. meyer, anthony r. jr. artino",meded exploring relationship between altmetrics traditional measures dissemination in health professions education,perspectives on medical education,"altmetrics, scholarly communication, social media"
156,"Black, CS; Lehane, DJ; Burns, C; O'Donnell, BD","Black, Colin S.; Lehane, Daniel J.; Burns, Chris; O'Donnell, Brian D.",An examination of the effect of open versus paywalled access publication on the disseminative impact and citation count of publications in intensive care medicine and anesthesia,JOURNAL OF CRITICAL CARE,English,Article,Alternative metrics; Open access; Publication policy; Citation analysis,2018,46,0,10.1016/j.jcrc.2018.05.008,"cs black, dj lehane, c burns, bd o'donnell","colin s. black, daniel j. lehane, chris burns, brian d. o'donnell",an examination effect open versus paywalled access publication on disseminative impact citation count publications in intensive care medicine anesthesia,journal of critical care,"alternative metrics, citation analysis, open access, publication policy"
157,"Kolahi, J; Khazaei, S","Kolahi, J.; Khazaei, S.",Altmetric analysis of contemporary dental literature,BRITISH DENTAL JOURNAL,English,Article,,2018,225,1,10.1038/sj.bdj.2018.521,"j kolahi, s khazaei","j. kolahi, s. khazaei",altmetric analysis contemporary dental literature,british dental journal,
158,"Chen, PY; Hayes, E; Lariviere, V; Sugimoto, CR","Chen, Pei-Ying; Hayes, Erica; Lariviere, Vincent; Sugimoto, Cassidy R.",Social reference managers and their users: A survey of demographics and ideologies,PLOS ONE,English,Article,,2018,13,7,10.1371/journal.pone.0198033,"py chen, e hayes, v lariviere, cr sugimoto","pei-ying chen, erica hayes, vincent lariviere, cassidy r. sugimoto",social reference managers their users a survey demographics ideologies,plos one,
159,"Rodriguez, CT; de Araujo, RF","Travieso Rodriguez, Crispulo; de Araujo, Ronaldo Ferreira","Altmetrics and citation indicators applied to scientific production in ScienceOpen: descriptive analysis for Brazil, Spain and Portugal",BIBLIOTECAS-ANALES DE INVESTIGACION,Spanish,Article,Altmetrics; Bibliometrics; citation analysis; scientific production; ScienceOpen,2018,14,2,,"ct rodriguez, rf de araujo","crispulo travieso rodriguez, ronaldo ferreira de araujo",altmetrics citation indicators applied to scientific production in scienceopen descriptive analysis for brazil spain portugal,bibliotecas anales de investigacion,"altmetrics, bibliometrics, citation analysis, scienceopen, scientific production"
160,"Nicholas, D; Herman, E; Xu, J; Boukacem-Zeghmouri, C; Abdullah, A; Watkinson, A; Swigon, M; Rodriguez-Bravo, B","Nicholas, David; Herman, Eti; Xu, Jie; Boukacem-Zeghmouri, Cherifa; Abdullah, Abrizah; Watkinson, Anthony; Swigon, Marzena; Rodriguez-Bravo, Blanca",Early Career Researchers' Quest for Reputation in the Digital Age,JOURNAL OF SCHOLARLY PUBLISHING,English,Article,scholarly reputation; assessment; early career researchers; scholarly communication; online scholarly communities,2018,49,4,10.3138/jsp.49.4.01,"d nicholas, e herman, j xu, c boukacem-zeghmouri, a abdullah, a watkinson, m swigon, b rodriguez-bravo","david nicholas, eti herman, jie xu, cherifa boukacem-zeghmouri, abrizah abdullah, anthony watkinson, marzena swigon, blanca rodriguez-bravo",early career researchers quest for reputation in digital age,journal of scholarly publishing,"assessment, early career researchers, online scholarly communities, scholarly communication, scholarly reputation"
161,"Holmberg, K; Vainio, J","Holmberg, Kim; Vainio, Julia",Why do some research articles receive more online attention and higher altmetrics? Reasons for online success according to the authors,SCIENTOMETRICS,English,Article,Altmetrics; Online attention; Twitter; Mendeley; Impact; Scientific impact; Societal impact,2018,116,1,10.1007/s11192-018-2710-1,"k holmberg, j vainio","kim holmberg, julia vainio",why do some research articles receive more online attention higher altmetrics reasons for online success according to authors,scientometrics,"altmetrics, impact, mendeley, online attention, scientific impact, societal impact, twitter"
162,"Shu, F; Lou, W; Haustein, S","Shu, Fei; Lou, Wen; Haustein, Stefanie",Can Twitter increase the visibility of Chinese publications?,SCIENTOMETRICS,English,Article,Twitter; Citation analysis; China; Altmetrics; Scientific impact,2018,116,1,10.1007/s11192-018-2732-8,"f shu, w lou, s haustein","fei shu, wen lou, stefanie haustein",can twitter increase visibility chinese publications,scientometrics,"altmetrics, china, citation analysis, scientific impact, twitter"
163,"Kalachikhin, PA","Kalachikhin, P. A.",The Development of a Webometric Criterion for Ranking Researchers,AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS,English,Article,altmetrics; webification; semi-webometric indicators; performance; publication; social media,2018,52,4,10.3103/s0005105518040076,pa kalachikhin,p. a. kalachikhin,development a webometric criterion for ranking researchers,automatic documentation and mathematical linguistics,"altmetrics, performance, publication, semi-webometric indicators, social media, webification"
164,"Sotudeh, H; Dehdarirad, T; Freer, J","Sotudeh, Hajar; Dehdarirad, Tahereh; Freer, Jonathan",Gender differences in scientific productivity and visibility in core neurosurgery journals: Citations and social media metrics,RESEARCH EVALUATION,English,Article,altmetrics; gender differences; neurosurgery; social media metrics; visibility,2018,27,3,10.1093/reseval/rvy003,"h sotudeh, t dehdarirad, j freer","hajar sotudeh, tahereh dehdarirad, jonathan freer",gender differences in scientific productivity visibility in core neurosurgery journals citations social media metrics,research evaluation,"altmetrics, gender differences, neurosurgery, social media metrics, visibility"
165,"Wiggins, A; Bonney, R; Lebuhn, G; Parrish, JK; Weltzin, JF","Wiggins, Andrea; Bonney, Rick; Lebuhn, Gretchen; Parrish, Julia K.; Weltzin, Jake F.",A Science Products Inventory for Citizen-Science Planning and Evaluation,BIOSCIENCE,English,Article,citizen science; evaluation; science products inventory; altmetrics; science policy,2018,68,6,10.1093/bioscience/biy028,"a wiggins, r bonney, g lebuhn, jk parrish, jf weltzin","andrea wiggins, rick bonney, gretchen lebuhn, julia k. parrish, jake f. weltzin",a science products inventory for citizen science planning evaluation,bioscience,"altmetrics, citizen science, evaluation, science policy, science products inventory"
166,"Didegah, F; Bowman, TD; Holmberg, K","Didegah, Fereshteh; Bowman, Timothy D.; Holmberg, Kim",On the Differences Between Citations and Altmetrics: An Investigation of Factors Driving Altmetrics Versus Citations for Finnish Articles,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,,2018,69,6,10.1002/asi.23934,"f didegah, td bowman, k holmberg","fereshteh didegah, timothy d. bowman, kim holmberg",on differences between citations altmetrics an investigation factors driving altmetrics versus citations for finnish articles,journal of the association for information science and technology,
167,"Thelwall, M","Thelwall, Mike",Early Mendeley readers correlate with later citation counts,SCIENTOMETRICS,English,Article,Mendeley; Citation analysis; Altmetrics; Alternative indicators,2018,115,3,10.1007/s11192-018-2715-9,m thelwall,mike thelwall,early mendeley readers correlate with later citation counts,scientometrics,"alternative indicators, altmetrics, citation analysis, mendeley"
168,"Vogl, S; Scherndl, T; Kuhberger, A","Vogl, Sebastian; Scherndl, Thomas; Kuehberger, Anton",#Psychology: a bibliometric analysis of psychological literature in the online media,SCIENTOMETRICS,English,Article,Altmetrics; Online media; Psychology; Scholarly impact; Social media,2018,115,3,10.1007/s11192-018-2727-5,"s vogl, t scherndl, a kuhberger","sebastian vogl, thomas scherndl, anton kuehberger",psychology a bibliometric analysis psychological literature in online media,scientometrics,"altmetrics, online media, psychology, scholarly impact, social media"
169,"Gates, A; Featherstone, R; Shave, K; Scott, SD; Hartling, L","Gates, Allison; Featherstone, Robin; Shave, Kassi; Scott, Shannon D.; Hartling, Lisa",Dissemination of evidence in paediatric emergency medicine: a quantitative descriptive evaluation of a 16-week social media promotion,BMJ OPEN,English,Article,,2018,8,6,10.1136/bmjopen-2018-022298,"a gates, r featherstone, k shave, sd scott, l hartling","allison gates, robin featherstone, kassi shave, shannon d. scott, lisa hartling",dissemination evidence in paediatric emergency medicine a quantitative descriptive evaluation a 16 week social media promotion,bmj open,
170,"Desrochers, N; Paul-Hus, A; Haustein, S; Costas, R; Mongeon, P; Quan-Haase, A; Bowman, TD; Pecoskie, J; Tsou, A; Lariviere, V","Desrochers, Nadine; Paul-Hus, Adele; Haustein, Stefanie; Costas, Rodrigo; Mongeon, Philippe; Quan-Haase, Anabel; Bowman, Timothy D.; Pecoskie, Jen; Tsou, Andrew; Lariviere, Vincent","Authorship, citations, acknowledgments and visibility in social media: Symbolic capital in the multifaceted reward system of science",SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,English,Article,acknowledgements; altmetrics; authorship; citation analysis; impact; inventorship; reward system of science; scholarly communication; social media; symbolic capital,2018,57,2,10.1177/0539018417752089,"n desrochers, a paul-hus, s haustein, r costas, p mongeon, a quan-haase, td bowman, j pecoskie, a tsou, v lariviere","nadine desrochers, adele paul-hus, stefanie haustein, rodrigo costas, philippe mongeon, anabel quan-haase, timothy d. bowman, jen pecoskie, andrew tsou, vincent lariviere",authorship citations acknowledgments visibility in social media symbolic capital in multifaceted reward system science,social science information sur les sciences sociales,"acknowledgements, altmetrics, authorship, citation analysis, impact, inventorship, reward system of science, scholarly communication, social media, symbolic capital"
171,"Ahmad, B; Sajid, A; Nawaz, H; Rind, MM; Hassan, B; Maitlo, A; Ruk, SA","Ahmad, Bilal; Sajid, Ahthasham; Nawaz, Haque; Rind, M. M.; Hassan, Basit; Maitlo, Abdullah; Ruk, S. A.",An Analysis of Co-relation between Social Network Citation with H-Index and its Variants,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,English,Article,Altmetrics; Bibliometrics; Co-relation; H-Index variants; Tweetation; Social media Analysis,2018,18,5,,"b ahmad, a sajid, h nawaz, mm rind, b hassan, a maitlo, sa ruk","bilal ahmad, ahthasham sajid, haque nawaz, m. m. rind, basit hassan, abdullah maitlo, s. a. ruk",an analysis co relation between social network citation with h index its variants,international journal of computer science and network security,"altmetrics, bibliometrics, co-relation, h-index variants, social media analysis, tweetation"
172,"Bornmann, L; Haunschild, R","Bornmann, Lutz; Haunschild, Robin",Do altmetrics correlate with the quality of papers? A large-scale empirical study based on F1000Prime data,PLOS ONE,English,Article,,2018,13,5,10.1371/journal.pone.0197133,"l bornmann, r haunschild","lutz bornmann, robin haunschild",do altmetrics correlate with quality papers a large scale empirical study based on f1000prime data,plos one,
