,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
232,dimensions,"beatriz tarazona, rut lucas-dominguez, vanessa paredes-gallardo, adolfo alonso-arroyo, antonio vidal-infer",the 100 most cited articles in orthodontics,The 100 most-cited articles in orthodontics:,the angle orthodontist,"11 medical and health sciences, 1105 dentistry",2018,10.2319/012418-65.1
233,dimensions,"jason yuen, samiul muquit, peter c. whitfield",correlation between cost of publication and journal impact comprehensive cross sectional study of exclusively open access surgical journals,Correlation Between Cost of Publication and Journal Impact. Comprehensive Cross-sectional Study of Exclusively Open-Access Surgical Journals,journal of surgical education,"11 medical and health sciences, 1103 clinical sciences, 13 education, 1302 curriculum and pedagogy",2019,10.1016/j.jsurg.2018.06.029
234,dimensions,"william a grobman, madeline m rice, uma m reddy, alan t n tita, robert m silver, gail mallett, kim hill, elizabeth a thom, yasser y el-sayed, annette perez-delboy, dwight j rouse, george r saade, kim a boggess, suneet p chauhan, jay d iams, edward k chien, brian m casey, ronald s gibbs, sindhu k srinivas, geeta k swamy, hyagriv n simhan, george a macones",labor induction versus expectant management in low risk nulliparous women,Labor Induction versus Expectant Management in Low-Risk Nulliparous Women,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine",2018,10.1056/nejmoa1800566
235,dimensions,henk f moed,assessment and support of emerging research groups,Assessment and support of emerging research groups.,fems microbiology letters,"06 biological sciences, 07 agricultural and veterinary sciences, 11 medical and health sciences",2018,10.1093/femsle/fny189
236,dimensions,"hylton b. menz, alan m. borthwick, catherine j. bowen",journal of foot and ankle research the first ten years,Journal of Foot and Ankle Research: the first ten years,journal of foot and ankle research,"11 medical and health sciences, 1103 clinical sciences, 1104 complementary and alternative medicine, 1106 human movement and sports science",2018,10.1186/s13047-018-0287-9
237,dimensions,"sangwon chae, sungjun kwon, donghyun lee",predicting infectious disease using deep learning and big data,Predicting Infectious Disease Using Deep Learning and Big Data,international journal of environmental research and public health,"08 information and computing sciences, 0801 artificial intelligence and image processing",2018,10.3390/ijerph15081596
238,dimensions,"christian herzog, brian kierkegaard lunn",response to the letter field classification of publications in dimensions a first case study testing its reliability and validity,Response to the letter ‘Field classification of publications in Dimensions: a first case study testing its reliability and validity’,scientometrics,"08 information and computing sciences, 0801 artificial intelligence and image processing",2018,10.1007/s11192-018-2854-z
239,dimensions,"joy z. zhou, benjamin t. lemelman, nicolae done, macey l. henderson, alexandra macmillan, david h. song, amir h. dorafshar",social media and the dissemination of research,Social Media and the Dissemination of Research,plastic reconstructive surgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1097/prs.0000000000004598
240,dimensions,jason yuen,comparison of impact factor eigenfactor metrics and scimago journal rank indicator and h index for neurosurgical and spinal surgical journals,"Comparison of Impact Factor, Eigenfactor Metrics, and SCimago Journal Rank Indicator and h-index for Neurosurgical and Spinal Surgical journals",world neurosurgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.wneu.2018.07.144
241,dimensions,"anthony n. hage, ravi n. srinivasa, jacob j. bundy, joseph j. gemmete, evan j. johnson, rajiv n. srinivasa, nishant patel, mamdouh khayat, dawn coleman, steven d. abramowitz, jeffrey forris beecham chick",vascularsurgery,#VascularSurgery,annals of vascular surgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.avsg.2018.06.001
242,dimensions,"sara l. tamers, ron goetzel, kevin m. kelly, sara luckhaupt, jeannie nigam, nicolaas p. pronk, diane s. rohlman, sherry baron, lisa m. brosseau, tim bushnell, shelly campo, chia-chia chang, adele childress, l. casey chosewood, thomas cunningham, linda m. goldenhar, terry t.-k. huang, heidi hudson, laura linnan, lee s. newman, ryan olson, ronald j. ozminkowski, laura punnett, anita schill, juliann scholl, glorian sorensen",research methodologies for total worker health,Research Methodologies for Total Worker Health®,journal of occupational and environmental medicine,"11 medical and health sciences, 1117 public health and health services",2018,10.1097/jom.0000000000001404
243,dimensions,"daniel nust, carlos granell, barbara hofer, markus konkol, frank o. ostermann, rusne sileryte, valentina cerutti",reproducible research and giscience an evaluation using agile conference papers,Reproducible research and GIScience: an evaluation using AGILE conference papers,peerj,"11 medical and health sciences, 1117 public health and health services",2018,10.7717/peerj.5072
244,dimensions,"samy a azer, sarah azer",what can we learn from top cited articles in inflammatory bowel disease a bibliometric analysis and assessment of the level of evidence,What can we learn from top-cited articles in inflammatory bowel disease? A bibliometric analysis and assessment of the level of evidence,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2018,10.1136/bmjopen-2017-021233
245,dimensions,"pei-ying chen, erica hayes, vincent lariviere, cassidy r. sugimoto",social reference managers and their users a survey of demographics and ideologies,Social reference managers and their users: A survey of demographics and ideologies,plos one,"16 studies in human society, 1608 sociology",2018,10.1371/journal.pone.0198033
246,dimensions,"james langabeer, michael gottlieb, chadd k. kraus, shahram lotfipour, linda s. murphy, mark i. langdorf",scholarship in emergency medicine a primer for junior academics part ii promoting your career and achieving your goals,Scholarship in Emergency Medicine: A Primer for Junior Academics: Part II: Promoting Your Career and Achieving Your Goals,western journal of emergency medicine,"17 psychology and cognitive sciences, 1701 psychology",2018,10.5811/westjem.2018.5.37539
247,dimensions,andrew stuart,audiology faculty author impact metrics as a function of institution,Audiology Faculty Author Impact Metrics as a Function of Institution,american journal of audiology,"11 medical and health sciences, 1199 other medical and health sciences",2018,10.1044/2018_aja-17-0107
248,dimensions,"jinhyung kim, rebecca j. schlegel, elizabeth seto, joshua a. hicks",thinking about a new decade in life increases personal self reflection a replication and reinterpretation of alter and hershfields 2014 findings,Thinking About a New Decade in Life Increases Personal Self-Reflection: A Replication and Reinterpretation of Alter and Hershfield’s (2014) Findings,journal of personality and social psychology,"15 commerce, management, tourism and services, 1505 marketing, 17 psychology and cognitive sciences, 1701 psychology, 1702 cognitive sciences",2019,10.1037/pspp0000199
249,dimensions,"maha hussain, karim fizazi, fred saad, per rathenborg, neal shore, ubirajara ferreira, petro ivashchenko, eren demirhan, katharina modelska, de phung, andrew krivoshik, cora n sternberg",enzalutamide in men with nonmetastatic castration resistant prostate cancer,"Enzalutamide in Men with Nonmetastatic, Castration-Resistant Prostate Cancer",new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1112 oncology and carcinogenesis",2018,10.1056/nejmoa1800536
250,dimensions,"robyn newson, lucie rychetnik, lesley king, andrew milat, adrian bauman",does citation matter research citation in policy documents as an indicator of research impact an australian obesity policy case study,Does citation matter? Research citation in policy documents as an indicator of research impact – an Australian obesity policy case-study,health research policy and systems,"16 studies in human society, 1605 policy and administration",2018,10.1186/s12961-018-0326-9
251,dimensions,"jamie kirkham, david moher",who and why do researchers opt to publish in post publication peer review platforms findings from a review and survey of f1000 research,Who and why do researchers opt to publish in post-publication peer review platforms? - findings from a review and survey of F1000 Research,f1000research,"21 history and archaeology, 2103 historical studies",2018,10.12688/f1000research.15436.1
